id,lat,lon,name,description
32557758,59.1148161,11.4164068,Iddeveien,
129942918,63.4079777,10.4123059,Nardoskrenten,
164365016,63.4260975,10.5218510,Presthusvegen,
206183518,63.4076222,10.4855619,Stokkanhaugen,
210259680,63.4171619,10.5255528,Severin Saksviks veg,
211466043,60.3731356,5.2252237,Brønndalen,
226059684,63.4298258,10.4581126,Strindheim hageby barnepark,
228816169,63.4063573,10.4419132,Othilienborg,
242099964,63.4328978,10.4538821,Strindheim skole,
242099968,63.4321688,10.4539331,Balders hage,
242099971,63.4319343,10.4538546,Balders hage,
242099979,63.4314080,10.4540013,Balders hage,
242099989,63.4268154,10.4530751,Tingvegen,
242099997,63.4246504,10.4511891,Bromstadekra,
246234250,63.4264231,10.4552716,Bromstadekra,
246234251,63.4253938,10.4479699,Bromstadekra,
246234283,63.4285594,10.4500357,Tingvegen,
246519017,63.3918169,10.3533854,Lois Kvalstads veg,
246519036,63.3892901,10.3522547,O.J.Aalmos veg,
246519039,63.3875044,10.3588886,Rydningen,
246519065,63.3855956,10.3503945,Kvitsteinvegen,
246519070,63.3865323,10.3569065,Carl W. Janssens veg,
246519077,63.3894191,10.3598516,Uglabekk-stien,
247455680,63.4128691,10.5395791,Vikåsen,
247455690,63.4139364,10.5375236,Markaplassen,
247455691,63.4151133,10.5379242,Markaplassen,
247455695,63.4189882,10.5331456,Markaplassen,
247455696,63.4173657,10.5315637,Markaplassen,
247455700,63.4167138,10.5301608,Markaplassen,
247455702,63.4162461,10.5302890,Markaplassen,
247455703,63.4165219,10.5292823,Markaplassen,
247455709,63.4144488,10.5284195,Markaplassen,
247455744,63.4145594,10.5333088,Vikåsen,
247455756,63.4152674,10.5313058,Markaplassen,
247455757,63.4154558,10.5335861,Markaplassen,
247455758,63.4157316,10.5320454,Markaplassen,
247455762,63.4162196,10.5329732,Markaplassen,
247455763,63.4168082,10.5333811,Markaplassen,
247455765,63.4166718,10.5348782,Lilia's lekestue,
247455768,63.4158730,10.5354937,Markaplassen,
247455771,63.4144307,10.5359043,Markaplassen,
247455786,63.4084709,10.5345860,Sagplassvegen,
247455788,63.4091751,10.5328080,Sagplassvegen,
260627743,63.4189429,10.4914489,Stokkbekken,
283072696,62.9767099,8.7190344,,
286791773,59.2110386,9.6101236,Ole Cudrios gate,
287153262,59.9533496,11.0621961,Sørumsparken,
287153347,59.9521849,11.0587199,Ekelundstien,
288500623,59.1407312,9.6546116,Storgata,
288670472,58.4163238,12.3245125,Ursandscamping,
289233693,59.1894187,9.6192334,Gråtenvegen,
289519282,59.0296771,12.2277250,Centrumsvägen,
292172660,58.7077702,12.3397935,Kroppefjäll,
296955286,62.9626742,8.6967141,Røsslyngvegen,
296955289,62.9615213,8.6978105,Mongsøyvegen,
296955296,62.9592438,8.6958355,Mongsøyvegen,
