4717978,50.7646378,-1.2821076,Seafront,
12005994,50.6301331,-1.1842669,Batts road,
12783851,52.4083523,-1.9772655,Allens Cross Park,
12865220,54.2772556,-2.4552953,Glebe Field,
18337930,52.6647390,-0.6363889,Bull Brig Lane,little climbing wall and assault course for kids;
19256914,52.1900926,0.1789271,Cherry Hinton Church of England Primary School,
20619060,51.2163566,-0.3166595,Wildcroft Drive,
20823733,52.2027219,0.1323654,Petersfield Mansions,
20826595,52.2062443,0.1424360,St Matthew's Gardens,
20826596,52.2072885,0.1417514,St Matthew's Gardens,
20826675,52.2043339,0.1357944,Petersfield,
20827170,52.2036502,0.1425915,Sleaford Street,
20921899,52.2130675,0.1244893,Jesus Green Playarea,
20965828,52.7718423,-1.2321142,Garendon Road,
21137329,52.2139935,0.1375328,Whytford Close,
21137734,52.2234415,0.1491304,The Green,
21350333,52.2464875,0.1605284,Sutton Close,
21350347,52.2456772,0.1569481,Mansfield Close,
21391238,52.1884717,0.1281888,Gilpin Place,
21449466,52.2278087,0.1393193,Atkins Close,
21449546,52.2292497,0.1300658,Crowland Way,
21591811,52.2183466,0.1090909,Murketts,
23768821,52.2090731,0.0689996,Coton Village Hall,
23769050,52.2083491,0.0570483,Benny's Way,
23769237,52.2234044,0.0421833,Cambridge Road,
24672949,52.1909608,0.1653007,Walpole Road,
25285260,52.1958208,0.1367992,Ravensworth Gardens,
25288601,52.1779709,0.1508382,Nightingale recreation ground,
25905274,52.2209553,0.2638656,West Walk,
26419788,53.3193204,-1.9843568,Mevril Road,
26420713,53.3258874,-1.9106927,Valley Drive,
26664242,52.2403734,0.0846352,Girton Glebe Primary School,
26664334,52.2613792,0.0733938,Queens Way,
26665509,52.2816898,0.0510299,Magdalene Close,
26665510,52.2811019,0.0500246,Magdalene Close,
26790460,53.1626558,-3.1551368,Lon cae del,
26805857,53.1657042,-3.1476699,Llys Pres Wylfa,
26911994,53.2936692,-3.0119749,Playground,
27541215,53.4439898,-2.2754382,Head over Heels,
29043336,52.3991978,0.2459851,Darwin Close,
29044119,52.3971960,0.2487331,St Johns Road,
29044141,52.3971180,0.2454691,Kingsley Walk,
29044169,52.4028400,0.2464694,Tennyson Place,
29044171,52.4023674,0.2486729,Beresford Road,
29528156,52.7650743,-1.2535129,Garendon Park,
29676377,52.2986367,-0.0425022,Fen Drayton Lakes Nature Reserve,
29714490,51.4626140,-0.0791826,Hayes Grove,
29714491,51.4630978,-0.0787634,Bellenden,
29825387,51.7363099,-1.1997032,Normandy Crescent,
29864969,52.3974837,0.2705600,Willow Walk,
30055812,51.1229300,0.9317614,Glebelands,
30166227,51.1624111,0.8826741,Rylands Road,
30226281,50.8474992,-0.1224243,Lynchet Close,
30503502,51.2807640,0.7656818,The Street,
30935271,51.3520255,1.1344207,Ruskins View,
32534182,52.2172349,0.0098833,PetPaks,
32534186,52.2156684,0.0116195,Bramley Way,
32636936,51.3461179,1.0122949,Sandpiper Road,
32880344,53.5914923,-2.5852572,Vicarage Road,
32928010,52.0624571,1.2648119,Gorseland Primary School,
33129251,52.1380545,0.0844918,The Limes,
